1001001340001;134;JOUHAUX-BLUM.                                                                   ;FORT D'AUBERVILLIERS-METRO                                                      ;1;1;1;1;0
1001001370001;137;Z.I NORD                                                                        ;PORTE DE CLIGNANCOURT-METRO                                                     ;0;0;0;1;0
1001001380001;138;GARE D'ERMONT EAUBONNE-RER                                                      ;PORTE DE CLICHY-METRO                                                           ;0;0;0;1;0
1001001390001;139;SAINT-OUEN RER                                                                  ;PORTE DE LA VILLETTE-METRO                                                      ;1;1;1;1;1
1001001400001;140;GARE D'ARGENTEUIL                                                               ;GABRIEL PERI-METRO                                                              ;1;1;1;1;1
1001001410001;141;LYCEE DE RUEIL                                                                  ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;1;1;1;1;0
1001001430001;143;ROSNY-SOUS-BOIS RER                                                             ;LA_COURNEUVE RER                                                                ;0;1;1;1;1
1001001440001;144;RUEIL-MALMAISON RER                                                             ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;1;1;1;1;0
1001001450001;145;CIMETIERE DE VILLEMOMBLE                                                        ;EGLISE DE PANTIN-METRO                                                          ;0;0;0;1;1
1001001460001;146;LES BOSQUETS                                                                    ;LE_BOURGET RER                                                                  ;0;0;0;1;0
1001001470001;147;AVENUE RONSARD                                                                  ;EGLISE DE PANTIN-METRO                                                          ;0;1;1;1;1
1001001480001;148;MUSEE DE L'AIR ET DE L'ESPACE                                                   ;PABLO PICASSO-METRO-TRAMWAY                                                     ;1;1;1;1;1
1001001500001;150;PIERREFITTE STAINS-RER                                                          ;PORTE DE LA VILLETTE-METRO                                                      ;0;1;1;1;1
1001001510001;151;JOUHAUX-BLUM                                                                    ;PORTE DE PANTIN                                                                 ;0;0;0;1;0
1001001520001;152;ZAC DES TULIPES                                                                 ;PORTE DE LA VILLETTE-METRO                                                      ;0;1;1;1;1
1001001530001;153;MOULIN NEUF                                                                     ;PORTE DE LA CHAPELLE-METRO                                                      ;1;1;1;1;1
1001001540001;154;GARE D'ENGHIEN LES BAINS                                                        ;PORTE DE PARIS-METRO                                                            ;0;1;1;1;1
1001001560001;156;GARE D'EPINAY-VILLETANEUSE                                                      ;GARE DE SAINT DENIS-RER-TRAMWAY                                                 ;0;0;0;1;0
1001001570001;157;BOULEVARD DE SEINE                                                              ;PONT DE NEUILLY-METRO                                                           ;1;1;1;1;1
1001001580001;158;RUEIL MALMAISON-RER                                                             ;PONT DE NEUILLY-METRO                                                           ;1;1;1;1;1
1001001590001;159;CITE DU VIEUX PONT                                                              ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;0;1;0;1;0
1001001600001;160;PREFECTURE-RER                                                                  ;PONT DE SEVRES-METRO                                                            ;1;1;1;1;0
1001001610001;161;GARE D'ARGENTEUIL                                                               ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;0;1;1;1;1
1001001620001;162;VAL FLEURY-RER                                                                  ;LOUIS ARAGON-METRO                                                              ;0;1;1;1;0
1001001630001;163;GRAND CERF                                                                      ;PORTE DE CHAMPERRET                                                             ;0;0;0;1;1
1001001640001;164;COLLEGE CLAUDE MONET                                                            ;PORTE DE CHAMPERRET                                                             ;0;1;1;1;1
1001001650001;165;ROBERT LAVERGNE                                                                 ;PORTE DE CHAMPERRET                                                             ;0;0;0;1;0
1001001660001;166;AUDRA                                                                           ;PORTE DE CLIGNANCOURT-METRO                                                     ;0;0;0;1;1
1001001670001;167;PONT DE LEVALLOIS-METRO                                                         ;ZAC DES BRUYERES                                                                ;1;1;1;1;0
1001001680001;168;GARGES-LES-GONESSE RER                                                          ;PORTE DE PARIS-METRO                                                            ;0;1;0;1;1
1001001690001;169;PONT DE SEVRES-METRO                                                            ;HOPITAL EUROPEEN GEORGES POMPIDOU                                               ;0;1;0;1;1
1001001700001;170;GARE DE SAINT DENIS-RER-TRAMWAY                                                 ;PORTE DES LILAS-METRO                                                           ;1;1;1;1;1
1001001710001;171;CHATEAU DE VERSAILLES                                                           ;PONT DE SEVRES-METRO                                                            ;1;1;1;1;1
1001001720001;172;L'ECHAT-PARKING                                                                 ;BOURG LA REINE-RER                                                              ;0;1;1;1;1
1001001730001;173;8 MAI 1945-METRO-TRAMWAY                                                        ;PORTE DE CLICHY-METRO                                                           ;0;1;1;1;1
1001001740001;174;SAINT-OUEN RER                                                                  ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;1;1;1;1;1
1001001750001;175;GABRIEL PERI-METRO                                                              ;PORTE DE SAINT CLOUD-METRO                                                      ;0;0;0;1;0
1001001760001;176;PETIT GENNEVILLIERS                                                             ;PONT DE NEUILLY-METRO                                                           ;1;1;1;1;0
1001001770001;177;Z.I NORD                                                                        ;GABRIEL PERI-METRO                                                              ;1;1;1;1;1
1001001780001;178;PLACE PAUL HERBE                                                                ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;0;1;1;1;1
1001001790001;179;ROBINSON-RER                                                                    ;PONT DE SEVRES-METRO                                                            ;0;1;1;1;1
1001001800001;180;LOUIS ARAGON-METRO                                                              ;CHARENTON-ECOLES-METRO                                                          ;0;1;1;1;1
1001001810001;181;LA GAITE                                                                        ;ECOLE VETERINAIRE DE MAISONS-ALFORT                                             ;1;1;1;1;1
1001001820001;182;VILLENEUVE TRIAGE-RER                                                           ;MAIRIE D'IVRY-METRO                                                             ;1;1;1;1;0
1001001830001;183;AEROGARE D'ORLY SUD                                                             ;PORTE DE CHOISY                                                                 ;0;1;1;1;1
1001001840001;184;PASTEUR                                                                         ;PORTE D'ITALIE-METRO                                                            ;1;1;1;1;0
1001001850001;185;RUNGIS-MARCHE INTERNATIONAL.                                                    ;PORTE D'ITALIE-METRO                                                            ;0;1;0;1;0
1001001860001;186;ROND-POINT ROOSEVELT                                                            ;PORTE D'ITALIE-METRO                                                            ;0;0;0;1;0
1001001870001;187;CHARCOT-ZOLA                                                                    ;PORTE D'ORLEANS-METRO                                                           ;0;1;0;1;1
1001001880001;188;ROSENBERG                                                                       ;PORTE D'ORLEANS-METRO                                                           ;0;1;0;1;1
1001001890001;189;GEORGES POMPIDOU                                                                ;PORTE DE SAINT CLOUD-METRO                                                      ;0;1;1;1;1
1001001900001;190;VELIZY 2                                                                        ;MAIRIE D'ISSY-METRO                                                             ;0;1;1;1;0
1001001910001;191;PLACE DU GARDE                                                                  ;PORTE DE VANVES                                                                 ;1;1;1;1;0
1001001920001;192;RUNGIS-MARCHE INTERNATIONAL                                                     ;ROBINSON-RER                                                                    ;0;1;0;1;0
1001001940001;194;CHATENAY-MALABRY-LYCEE POLYVALENT                                            ;PORTE D'ORLEANS-METRO                                                           ;0;1;0;1;1
1001001950001;195;ROBINSON-RER                                                                    ;CHATILLON MONTROUGE METRO                                                       ;0;1;1;1;1
1001001960001;196;ANTONY RER                                                                      ;MASSY RER                                                                       ;1;1;1;1;0
1001001970001;197;OPERA-THEATRE                                                                   ;PORTE D'ORLEANS-METRO                                                           ;0;1;0;1;1
1001001990001;199;LA ROCADE-LYCEE                                                                 ;MASSY PALAISEAU-RER                                                             ;0;0;0;1;0
1001002010001;201;DIDEROT-LA PLAGE                                                                ;JOINVILLE LE PONT-RER                                                           ;1;1;1;1;0
1001002030001;203;ILE DE FRANCE                                                                   ;NEUILLY-PLAISANCE RER                                                           ;1;1;1;1;0
1001002060001;206;GARE D'EMERAINVILLE-PONTAULT COMBAULT                                           ;NOISY-LE-GRAND MONT D'EST-RER                                                   ;0;1;0;1;1
1001002070001;207;HOPITAL DE LA QUEUE EN BRIE                                                     ;MONT D'EST-RER                                                                  ;0;1;0;1;0
1001002080001;208A;PLACE DE LA RESISTANCE                                                          ;CHAMPIGNY-SAINT MAUR-RER                                                        ;0;1;1;1;1
1001002080001;208B;PLACE DE VERDUN                                                                 ;CHAMPIGNY-SAINT MAUR-RER                                                        ;0;1;1;1;1
1001002080001;208S;CHAMPIGNY-SAINT MAUR-RER.                                                       ;NAVETTE;0;1;1;1;1
1001002100001;210;VILLIERS SUR MARNE-LE PLESSIS TREVISE-RER                                       ;CHATEAU DE VINCENNES-METRO                                                      ;1;1;1;1;0
1001002110001;211;CENTRE COMMERCIAL CHELLES 2                                                     ;TORCY-RER                                                                       ;0;1;0;1;0
1001002120001;212;POINTE DE CHAMPS                                                                ;GARE D'EMERAINVILLE-PONTAULT-COMBAULT                                           ;0;0;0;1;0
1001002130001;213;LE VILLAGE                                                                      ;GARE DE CHELLES-GOURNAY-RER                                                     ;0;1;1;1;0
